190    Pakistan                                           14.9                                              
191    Liechtenstein                                      14.9                                              
192    Egypt                                              14.7                                              
193    Dominican Republic                                 14.7                                              
194    Costa Rica                                         14.4                                              
195    Sierra Leone                                       14.4                                              
196    Uganda                                             14.1                                              
197    Sri Lanka                                          14.1                                              
198    Central African Republic                           14.1                                              
199    Tanzania                                           14.0                                              
200    Isle of Man                                        13.8                                              
201    New Caledonia                                      12.8                                              
202    Turkmenistan                                       12.8                                              
203    Burma                                              12.6                                              
204    Indonesia                                          12.5                                              
205    West Bank                                          12.5                                              
206    Madagascar                                         12.3                                              
207    Timor-Leste                                        12.0                                              
208    Korea, North                                       11.4                                              
209    Guatemala                                          11.1                                              
210    Congo, Democratic Republic of the                  11.0                                              
211    Afghanistan                                        10.5                                              
212    Chad                                               10.4                                              
213    Bangladesh                                         9.9                                               
214    India                                              9.5                                               
215    Puerto Rico                                        9.0                                               
216    Sudan                                              7.6                                               
217    Yemen                                              6.2                                               
218    Nigeria                                            3.0                                               
219    Somalia                                            2.5                                               
220    Syria                                              2.0                                               
